	Level	Test Name	Entity	Label	Debug Message
0	CURATION	deprecated_replacement_obsolete	http://edamontology.org/data_2539	'Alignment data'	concept is replaced by (http://www.geneontology.org/formats/oboInOwl#consider) an obsolete concept: http://edamontology.org/data_2083
1	CURATION	deprecated_replacement_obsolete	http://edamontology.org/topic_0747	'Nucleic acid sites and features'	concept is replaced by (http://www.geneontology.org/formats/oboInOwl#consider) an obsolete concept: http://edamontology.org/topic_0640
2	CURATION	deprecated_replacement_obsolete	http://edamontology.org/topic_0748	'Protein sites and features'	concept is replaced by (http://www.geneontology.org/formats/oboInOwl#consider) an obsolete concept: http://edamontology.org/topic_0639
3	CURATION	deprecated_replacement_obsolete	http://edamontology.org/topic_0751	'Phosphorylation sites'	concept is replaced by (http://www.geneontology.org/formats/oboInOwl#consider) an obsolete concept: http://edamontology.org/topic_0748
4	CURATION	deprecated_replacement_obsolete	http://edamontology.org/topic_2280	'Nucleic acid structure comparison'	concept is replaced by (http://www.geneontology.org/formats/oboInOwl#consider) an obsolete concept: http://edamontology.org/topic_1770
5	CURATION	end_dot_def_missing	http://edamontology.org/data_0942	'2D PAGE image'	A dot is missing at the end of the definition.
6	CURATION	end_dot_def_missing	http://edamontology.org/data_1895	'Locus ID (AGI)'	A dot is missing at the end of the definition.
7	CURATION	end_dot_def_missing	http://edamontology.org/deprecation_comment	'deprecation_comment'	A dot is missing at the end of the definition.
8	CURATION	end_dot_def_missing	http://edamontology.org/format_3327	'BAI'	A dot is missing at the end of the definition.
9	CURATION	end_dot_def_missing	http://edamontology.org/format_3328	'HMMER2'	A dot is missing at the end of the definition.
10	CURATION	end_dot_def_missing	http://edamontology.org/format_3329	'HMMER3'	A dot is missing at the end of the definition.
11	CURATION	end_dot_def_missing	http://edamontology.org/format_3331	'BLAST XML results format'	A dot is missing at the end of the definition.
12	CURATION	end_dot_def_missing	http://edamontology.org/format_3462	'CRAM'	A dot is missing at the end of the definition.
13	CURATION	end_dot_def_missing	http://edamontology.org/format_3466	'EPS'	A dot is missing at the end of the definition.
14	CURATION	end_dot_def_missing	http://edamontology.org/format_3508	'PDF'	A dot is missing at the end of the definition.
15	CURATION	end_dot_def_missing	http://edamontology.org/format_3582	'afg'	A dot is missing at the end of the definition.
16	CURATION	end_dot_def_missing	http://edamontology.org/format_3583	'bedgraph'	A dot is missing at the end of the definition.
17	CURATION	end_dot_def_missing	http://edamontology.org/format_3605	'rast'	A dot is missing at the end of the definition.
18	CURATION	end_dot_def_missing	http://edamontology.org/format_3696	'PS'	A dot is missing at the end of the definition.
19	CURATION	end_dot_def_missing	http://edamontology.org/format_3817	'latex'	A dot is missing at the end of the definition.
20	CURATION	end_dot_def_missing	http://edamontology.org/format_3830	'ARB'	A dot is missing at the end of the definition.
21	CURATION	end_dot_def_missing	http://edamontology.org/format_3886	'RST'	A dot is missing at the end of the definition.
22	CURATION	end_dot_def_missing	http://edamontology.org/operation_2947	'Article analysis'	A dot is missing at the end of the definition.
23	CURATION	end_dot_def_missing	http://edamontology.org/operation_3359	'Splitting'	A dot is missing at the end of the definition.
24	CURATION	end_dot_def_missing	http://edamontology.org/operation_3642	'Dimethyl'	A dot is missing at the end of the definition.
25	CURATION	end_dot_def_missing	http://edamontology.org/operation_3893	'Forcefield parameterisation'	A dot is missing at the end of the definition.
26	CURATION	end_dot_def_missing	http://edamontology.org/refactor_comment	'refactor_comment'	A dot is missing at the end of the definition.
27	CURATION	end_dot_def_missing	http://edamontology.org/topic_0655	'Coding RNA'	A dot is missing at the end of the definition.
28	CURATION	end_dot_def_missing	http://edamontology.org/topic_0767	'Protein and peptide identification'	A dot is missing at the end of the definition.
29	CURATION	end_dot_def_missing	http://edamontology.org/topic_0771	'Theoretical biology'	A dot is missing at the end of the definition.
30	CURATION	end_dot_def_missing	http://edamontology.org/topic_3044	'Protein interaction networks'	A dot is missing at the end of the definition.
31	CURATION	check_wikipedia_link	http://edamontology.org/topic_3068	'Literature and language'	Topic concept missing a wikipedia link
32	CURATION	check_wikipedia_link	http://edamontology.org/topic_0219	'Data submission, annotation, and curation'	Topic concept missing a wikipedia link
33	CURATION	check_wikipedia_link	http://edamontology.org/topic_3345	'Data identity and mapping'	Topic concept missing a wikipedia link
34	CURATION	check_wikipedia_link	http://edamontology.org/topic_3923	'Genome resequencing'	Topic concept missing a wikipedia link
35	CURATION	check_wikipedia_link	http://edamontology.org/topic_3524	'Simulation experiment'	Topic concept missing a wikipedia link
36	CURATION	check_wikipedia_link	http://edamontology.org/topic_3511	'Nucleic acid sites, features and motifs'	Topic concept missing a wikipedia link
37	CURATION	check_wikipedia_link	http://edamontology.org/topic_0123	'Protein properties'	Topic concept missing a wikipedia link
38	CURATION	check_wikipedia_link	http://edamontology.org/topic_3510	'Protein sites, features and motifs'	Topic concept missing a wikipedia link
39	CURATION	check_wikipedia_link	http://edamontology.org/topic_0157	'Sequence composition, complexity and repeats'	Topic concept missing a wikipedia link
40	CURATION	check_wikipedia_link	http://edamontology.org/topic_0632	'Probes and primers'	Topic concept missing a wikipedia link
41	CURATION	check_wikipedia_link	http://edamontology.org/topic_0160	'Sequence sites, features and motifs'	Topic concept missing a wikipedia link
42	CURATION	check_wikipedia_link	http://edamontology.org/topic_3892	'Biomolecular simulation'	Topic concept missing a wikipedia link
43	CURATION	check_wikipedia_link	http://edamontology.org/topic_3374	'Biotherapeutics'	Topic concept missing a wikipedia link
44	CURATION	check_wikipedia_link	http://edamontology.org/topic_3393	'Quality affairs'	Topic concept missing a wikipedia link
45	CURATION	identifier_property_missing	http://edamontology.org/data_1002	'CAS number'	is missing regex property
46	CURATION	identifier_property_missing	http://edamontology.org/data_1003	'Chemical registry number (Beilstein)'	is missing regex property
47	CURATION	identifier_property_missing	http://edamontology.org/data_1004	'Chemical registry number (Gmelin)'	is missing regex property
48	CURATION	identifier_property_missing	http://edamontology.org/data_1027	'Gene ID (NCBI)'	is missing regex property
49	CURATION	identifier_property_missing	http://edamontology.org/data_1031	'Gene ID (CGD)'	is missing regex property
50	CURATION	identifier_property_missing	http://edamontology.org/data_1032	'Gene ID (DictyBase)'	is missing regex property
51	CURATION	identifier_property_missing	http://edamontology.org/data_1033	'Ensembl gene ID'	is missing regex property
52	CURATION	identifier_property_missing	http://edamontology.org/data_1036	'TIGR identifier'	is missing regex property
53	CURATION	identifier_property_missing	http://edamontology.org/data_1039	'SCOP domain identifier'	is missing regex property
54	CURATION	identifier_property_missing	http://edamontology.org/data_1040	'CATH domain ID'	is missing regex property
55	CURATION	identifier_property_missing	http://edamontology.org/data_1041	'SCOP concise classification string (sccs)'	is missing regex property
56	CURATION	identifier_property_missing	http://edamontology.org/data_1042	'SCOP sunid'	is missing regex property
57	CURATION	identifier_property_missing	http://edamontology.org/data_1043	'CATH node ID'	is missing regex property
58	CURATION	identifier_property_missing	http://edamontology.org/data_1066	'Sequence alignment ID'	is missing regex property
59	CURATION	identifier_property_missing	http://edamontology.org/data_1100	'PIR identifier'	is missing regex property
60	CURATION	identifier_property_missing	http://edamontology.org/data_1102	'Gramene primary identifier'	is missing regex property
61	CURATION	identifier_property_missing	http://edamontology.org/data_1103	'EMBL/GenBank/DDBJ ID'	is missing regex property
62	CURATION	identifier_property_missing	http://edamontology.org/data_1104	'Sequence cluster ID (UniGene)'	is missing regex property
63	CURATION	identifier_property_missing	http://edamontology.org/data_1105	'dbEST accession'	is missing regex property
64	CURATION	identifier_property_missing	http://edamontology.org/data_1106	'dbSNP ID'	is missing regex property
65	CURATION	identifier_property_missing	http://edamontology.org/data_1113	'Sequence cluster ID (COG)'	is missing regex property
66	CURATION	identifier_property_missing	http://edamontology.org/data_1118	'HMMER hidden Markov model ID'	is missing regex property
67	CURATION	identifier_property_missing	http://edamontology.org/data_1119	'JASPAR profile ID'	is missing regex property
68	CURATION	identifier_property_missing	http://edamontology.org/data_1123	'TreeBASE study accession number'	is missing regex property
69	CURATION	identifier_property_missing	http://edamontology.org/data_1124	'TreeFam accession number'	is missing regex property
70	CURATION	identifier_property_missing	http://edamontology.org/data_1128	'AAindex ID'	is missing regex property
71	CURATION	identifier_property_missing	http://edamontology.org/data_1129	'BIND accession number'	is missing regex property
72	CURATION	identifier_property_missing	http://edamontology.org/data_1134	'InterPro secondary accession'	is missing regex property
73	CURATION	identifier_property_missing	http://edamontology.org/data_1135	'Gene3D ID'	is missing regex property
74	CURATION	identifier_property_missing	http://edamontology.org/data_1140	'Superfamily hidden Markov model number'	is missing regex property
75	CURATION	identifier_property_missing	http://edamontology.org/data_1141	'TIGRFam ID'	is missing regex property
76	CURATION	identifier_property_missing	http://edamontology.org/data_1143	'TRANSFAC accession number'	is missing regex property
77	CURATION	identifier_property_missing	http://edamontology.org/data_1146	'EMDB ID'	is missing regex property
78	CURATION	identifier_property_missing	http://edamontology.org/data_1148	'GermOnline ID'	is missing regex property
79	CURATION	identifier_property_missing	http://edamontology.org/data_1149	'EMAGE ID'	is missing regex property
80	CURATION	identifier_property_missing	http://edamontology.org/data_1151	'HGVbase ID'	is missing regex property
81	CURATION	identifier_property_missing	http://edamontology.org/data_1154	'KEGG object identifier'	is missing regex property
82	CURATION	identifier_property_missing	http://edamontology.org/data_1157	'Pathway ID (BioCyc)'	is missing regex property
83	CURATION	identifier_property_missing	http://edamontology.org/data_1158	'Pathway ID (INOH)'	is missing regex property
84	CURATION	identifier_property_missing	http://edamontology.org/data_1159	'Pathway ID (PATIKA)'	is missing regex property
85	CURATION	identifier_property_missing	http://edamontology.org/data_1160	'Pathway ID (CPDB)'	is missing regex property
86	CURATION	identifier_property_missing	http://edamontology.org/data_1164	'MIRIAM URI'	is missing regex property
87	CURATION	identifier_property_missing	http://edamontology.org/data_1167	'Taverna workflow ID'	is missing regex property
88	CURATION	identifier_property_missing	http://edamontology.org/data_1175	'BioPax concept ID'	is missing regex property
89	CURATION	identifier_property_missing	http://edamontology.org/data_1177	'MeSH concept ID'	is missing regex property
90	CURATION	identifier_property_missing	http://edamontology.org/data_1178	'HGNC concept ID'	is missing regex property
91	CURATION	identifier_property_missing	http://edamontology.org/data_1180	'Plant Ontology concept ID'	is missing regex property
92	CURATION	identifier_property_missing	http://edamontology.org/data_1181	'UMLS concept ID'	is missing regex property
93	CURATION	identifier_property_missing	http://edamontology.org/data_1183	'EMAP concept ID'	is missing regex property
94	CURATION	identifier_property_missing	http://edamontology.org/data_1184	'ChEBI concept ID'	is missing regex property
95	CURATION	identifier_property_missing	http://edamontology.org/data_1185	'MGED concept ID'	is missing regex property
96	CURATION	identifier_property_missing	http://edamontology.org/data_1186	'myGrid concept ID'	is missing regex property
97	CURATION	identifier_property_missing	http://edamontology.org/data_1189	'Medline UI'	is missing regex property
98	CURATION	identifier_property_missing	http://edamontology.org/data_1794	'Gene ID (PlasmoDB)'	is missing regex property
99	CURATION	identifier_property_missing	http://edamontology.org/data_1795	'Gene ID (EcoGene)'	is missing regex property
100	CURATION	identifier_property_missing	http://edamontology.org/data_1796	'Gene ID (FlyBase)'	is missing regex property
101	CURATION	identifier_property_missing	http://edamontology.org/data_1802	'Gene ID (Gramene)'	is missing regex property
102	CURATION	identifier_property_missing	http://edamontology.org/data_1803	'Gene ID (Virginia microbial)'	is missing regex property
103	CURATION	identifier_property_missing	http://edamontology.org/data_1804	'Gene ID (SGN)'	is missing regex property
104	CURATION	identifier_property_missing	http://edamontology.org/data_1873	'iHOP organism ID'	is missing regex property
105	CURATION	identifier_property_missing	http://edamontology.org/data_1885	'Gene ID (GeneFarm)'	is missing regex property
106	CURATION	identifier_property_missing	http://edamontology.org/data_1886	'Blattner number'	is missing regex property
